8e3r	7.302563 0.0033473915	257.8309 3.6325352
8e3x	20.920853 0.03650905	162.4104 0.63142073
9muw	17.41202 0.0033571823	205.0237 2.1215723
9mxv	20.936262 0.0020969159	0.0 0.0
9myf	23.746477 9.7227073E-4	233.28836 2.2498817
9mzg	22.371567 0.0010494408	0.0 0.0
9pxw	10.003741 0.015958574	149.30956 1.3098807
9q4g	14.822412 0.0037239024	202.39417 1.6471189
9qb3	11.637736 0.0069416207	174.31113 2.1602678
9qd5	15.654964 0.0021909338	201.71019 1.8110015
9qdy	9.57729 0.0101190945	209.62885 1.5351726
9qnf	23.167906 9.779222E-4	0.0 0.0
9qqb	15.804135 0.001578903	0.0 0.0
9qqv	18.255117 0.0014126492	0.0 0.0
9qs8	25.827116 3.9283393E-4	222.66496 2.1743433
9qt2	17.908236 0.0010673563	222.31572 2.6905496
9qx7	17.781755 0.0027041025	0.0 0.0
9qxm	11.718509 0.0047653457	0.0 0.0
9qyv	9.511691 0.003197446	199.19432 1.7962259
9qz5	9.209217 0.001632415	0.0 0.0
9r0z	15.180074 0.011323268	188.19846 1.7270018
9r6y	6.472718 0.0036949527	190.92702 2.5848708
9rbk	10.891077 0.010051036	151.07791 0.9548813
9rdz	7.5251985 0.0024833293	183.03023 2.1677692
9rfv	11.627141 0.0023405345	164.60522 1.8127731
9rpb	9.903575 0.0019475021	0.0 0.0
9rpz	10.3942585 0.0024366933	0.0 0.0
9rru	8.742203 0.0033434215	189.09532 1.7820295
9rsv	9.559148 0.002535079	179.30545 1.9209267
9rxp	6.319355 0.0038495387	186.66052 2.60765
9t8s	17.01296 0.002443799	0.0 0.0
9t8z	21.381054 0.0024895722	225.01884 1.5300778
9t97	15.420797 0.0038939703	228.53552 2.0960953
9tbe	21.342012 0.0017611993	0.0 0.0
9tbm	22.092682 0.001478944	0.0 0.0
9tdn	15.345374 0.0031097338	0.0 0.0
9tej	14.710392 0.001655268	0.0 0.0
9tf4	19.114626 0.0018051845	0.0 0.0
9tfx	10.541517 0.0032575156	0.0 0.0
9tnw	19.928585 0.002677199	235.11316 1.7878531
9tu1	15.758033 0.0021728107	225.61961 2.0478094
9tux	13.482469 0.0019662348	0.0 0.0
9tv0	13.334425 0.0023175352	0.0 0.0
9tvd	16.81032 0.0017743531	0.0 0.0
9tvu	16.236635 0.0018014298	0.0 0.0
9twg	18.596184 0.0033386566	218.7527 2.505699
9udq	23.113588 0.0054948064	189.01488 2.376028
9v50	21.238111 0.008615751	186.30185 1.5919955
9v6q	19.3997 0.007863165	188.00357 2.0001743
9v8w	17.568066 0.005982606	203.71382 1.8610456
9veu	19.20412 0.010593104	183.09018 1.6166195
9vqe	19.731369 0.015586895	178.64722 1.4090736
9vy7	17.189617 0.014031819	168.01717 0.6353059
9w0k	16.583658 0.0024330714	0.0 0.0
9w17	9.0484 0.0041271574	0.0 0.0
9w1b	12.821918 0.0034108905	0.0 0.0
9w1y	12.428272 0.002020478	0.0 0.0
9w25	11.0915 0.0028885643	220.80055 2.7931724
9w2c	13.371357 0.0016511108	0.0 0.0
9w4z	7.347978 0.0022926207	0.0 0.0
9w5c	4.629333 0.0042655948	0.0 0.0
9w5g	15.0765705 0.001951213	215.05786 2.108374
9w5r	10.267774 0.0017110024	0.0 0.0
9w6q	7.7066994 0.0028320493	0.0 0.0
9w7k	10.213503 0.001677891	0.0 0.0
9w81	11.333405 0.0014509882	0.0 0.0
9w89	17.217314 0.001099055	0.0 0.0
9w8m	9.550339 0.0025676165	0.0 0.0
9w92	8.893598 0.0027901032	0.0 0.0
9w9g	11.274542 0.0015474873	0.0 0.0
9w9v	10.322782 0.0024466696	0.0 0.0
9wb1	1.9448882 0.0050702034	0.0 0.0
9wbc	10.4559355 0.0019668401	199.61058 2.2191696
9wcc	10.539289 0.0021661334	0.0 0.0
9wdg	8.245184 0.0047180597	207.70627 1.9671974
9wdh	12.553238 0.0014167068	0.0 0.0
9wec	5.512479 0.0031876664	0.0 0.0
9wf0	11.923809 0.0019780574	0.0 0.0
9wfw	11.315247 0.0026594456	0.0 0.0
9wg7	5.725527 0.005129385	194.18985 1.7701546
9whk	11.312129 0.002129876	0.0 0.0
9wj6	13.830316 0.0018809017	0.0 0.0
9wk7	10.199954 0.0033720473	0.0 0.0
9wkk	5.2017794 0.006317607	202.53526 2.0754564
9wm4	10.223547 0.002659107	0.0 0.0
9wmv	12.006227 0.0028714493	0.0 0.0
9wn0	14.617447 0.0026516102	0.0 0.0
9wnc	14.570941 0.0041986913	213.63841 3.1024375
9wns	13.572028 0.0027414467	0.0 0.0
9wqx	13.751708 0.004869325	0.0 0.0
9ws8	5.7381935 0.0027480887	0.0 0.0
9wsw	4.348539 0.0011461521	0.0 0.0
9wu8	5.924416 0.0016527015	0.0 0.0
9wus	6.18361 0.0019521862	0.0 0.0
9wvj	3.7611 0.0032688377	0.0 0.0
9wvq	5.595197 0.0032788608	0.0 0.0
9ww1	9.551007 0.0029418906	0.0 0.0
9ww7	11.24138 0.0025748515	0.0 0.0
9wwp	11.424055 0.0033149444	204.1339 2.3888254
9wwu	12.012901 0.0027316667	0.0 0.0
9wx8	13.774129 0.004340389	203.22551 3.335098
9wxb	13.48214 0.0042827977	206.02095 3.5099921
9wy2	10.633599 0.0018609258	0.0 0.0
9wz5	10.171467 0.003029303	0.0 0.0
9x0v	2.4267035 0.0057934145	0.0 0.0
9x0y	7.4802957 0.003668859	0.0 0.0
9x11	8.809615 0.0015884134	0.0 0.0
9x4h	7.501571 0.0013758326	0.0 0.0
9x4s	8.964604 0.0027373747	191.8284 2.0657303
9x54	6.926417 0.0043487195	0.0 0.0
9x5h	6.37042 0.0029564758	0.0 0.0
9x60	6.615878 0.002461995	0.0 0.0
9x72	6.2246876 0.0025166727	0.0 0.0
9xc2	2.7875483 0.0060154186	174.88504 1.4512094
9xdd	7.7429724 0.003962436	185.65094 2.218655
9xh0	2.9517636 0.005077502	0.0 0.0
9xhg	2.0126884 0.008331806	170.74577 2.5766015
9xm8	8.477122 0.0032044784	183.56836 2.9198499
9xn6	9.209821 0.0034619966	0.0 0.0
9xns	9.471192 0.0029004994	0.0 0.0
9xp1	9.79461 0.0032307475	0.0 0.0
9xrz	8.674696 0.00472672	181.81583 4.7033534
9xvt	5.0851326 0.0073652742	166.04031 2.7062738
9xw1	7.38819 0.0036709239	184.32213 2.6504264
9y6v	15.564416 0.008965656	188.43166 2.038399
9ybj	11.523773 0.004651842	192.81761 3.298996
9ygq	12.887909 0.008365671	178.87752 2.6561878
9yqe	14.552647 0.013069942	169.68936 1.693499
9yss	13.67918 0.011514946	173.81065 2.01254
9ywy	12.650683 0.011470655	169.16687 1.8250175
9z5p	10.771435 0.007758031	171.76639 2.7880192
9z72	10.536043 0.008627205	168.15656 1.1366643
9zbd	7.8290353 0.004783669	171.48315 3.4339905
9zg2	7.0951777 0.0073639452	163.68105 2.308414
9zjf	11.606982 0.009884123	168.06592 2.518511
9zms	9.64015 0.009463383	164.4327 2.6726959
9zzf	7.5938005 0.00822095	150.86707 2.4452708
b3vf	4.591636 0.011077613	99.64876 3.5885372
b4nv	1.9265547 0.006096637	87.21362 4.532575
